NPRODUCTO,CONCURSO,F1,F2,F3,F4,F5,F6,F7,F8,BOLSA,FECHA
20,2595,5,1,2,3,2,2,2,1,302000,21/09/2023
20,2594,5,3,5,3,3,4,1,4,301000,19/09/2023
20,2593,2,1,1,1,4,2,4,3,300000,16/09/2023
20,2592,5,3,2,2,4,2,5,2,557000,14/09/2023
20,2591,2,1,3,1,5,2,4,5,490000,12/09/2023
20,2590,1,1,3,1,4,5,2,3,430000,09/09/2023
20,2589,3,4,5,1,4,3,5,3,365000,07/09/2023
20,2588,4,5,5,2,4,3,5,1,304000,05/09/2023
20,2587,4,4,1,3,3,2,5,4,303000,02/09/2023
20,2586,4,5,1,5,1,5,1,4,302000,31/08/2023
20,2585,4,1,1,4,4,1,1,5,301000,29/08/2023
20,2584,3,3,2,3,4,5,2,1,300000,26/08/2023
20,2583,4,2,1,1,2,2,2,4,305000,24/08/2023
20,2582,5,3,2,4,2,1,5,2,303000,22/08/2023
20,2581,5,1,5,4,5,4,1,4,302000,19/08/2023
20,2580,3,5,3,4,5,2,1,3,301000,17/08/2023
20,2579,4,2,4,1,1,1,2,3,300000,15/08/2023
20,2578,4,3,3,5,2,5,5,5,307000,12/08/2023
20,2577,5,5,1,4,1,1,2,5,303000,10/08/2023
20,2576,3,3,3,4,4,1,5,5,302000,08/08/2023
20,2575,2,1,1,1,2,5,1,4,301000,05/08/2023
20,2574,1,1,4,3,5,4,4,1,300000,03/08/2023
20,2573,2,5,4,2,5,1,3,3,301000,01/08/2023
20,2572,5,5,2,2,5,5,1,1,300000,29/07/2023
20,2571,1,3,5,5,3,3,3,3,387000,27/07/2023
20,2570,3,3,1,1,3,2,1,3,330000,25/07/2023
20,2569,1,1,5,3,5,1,3,3,303000,22/07/2023
20,2568,1,4,4,1,5,1,4,3,302000,20/07/2023
20,2567,2,2,4,1,5,4,4,4,301000,18/07/2023
20,2566,1,2,1,2,3,4,4,5,300000,15/07/2023
20,2565,4,3,2,2,5,3,1,5,301000,13/07/2023
20,2564,3,5,2,4,4,4,3,1,300000,11/07/2023
20,2563,2,2,4,3,3,2,2,4,917000,08/07/2023
20,2562,5,1,5,5,4,2,3,5,817000,06/07/2023
20,2561,4,5,3,2,3,3,1,1,727000,04/07/2023
20,2560,3,5,1,2,4,2,2,3,640000,01/07/2023
20,2559,3,4,1,2,3,5,5,5,557000,29/06/2023
20,2558,4,3,5,4,1,2,2,5,489000,27/06/2023
20,2557,3,5,1,5,2,4,4,5,430000,24/06/2023
20,2556,5,1,3,3,1,1,3,4,373000,22/06/2023
20,2555,2,5,2,4,1,2,4,2,310000,20/06/2023
20,2554,5,4,5,3,4,1,5,5,303000,17/06/2023
20,2553,4,3,1,4,2,3,3,1,302000,15/06/2023
20,2552,1,3,3,1,3,1,4,5,301000,13/06/2023
20,2551,4,1,5,2,2,5,5,3,300000,10/06/2023
20,2550,1,1,1,1,3,3,1,4,301000,08/06/2023
20,2549,5,1,1,4,2,4,2,1,300000,06/06/2023
20,2548,3,1,3,3,5,5,2,2,335000,03/06/2023
20,2547,4,1,4,1,4,3,2,4,303000,01/06/2023
20,2546,2,5,3,3,2,1,1,3,302000,30/05/2023
20,2545,5,4,4,3,4,1,5,5,301000,27/05/2023
20,2544,2,3,5,1,5,5,2,1,300000,25/05/2023
20,2543,2,1,4,3,1,2,5,4,300000,23/05/2023
20,2542,3,1,3,4,2,5,5,5,1900000,20/05/2023
20,2541,5,3,1,2,2,2,5,3,1730000,18/05/2023
20,2540,2,3,1,5,3,2,1,3,1555000,16/05/2023
20,2539,5,3,4,4,5,4,4,2,1420000,13/05/2023
20,2538,1,1,3,4,2,5,5,1,1300000,11/05/2023
20,2537,5,4,4,4,1,3,1,5,1165000,09/05/2023
20,2536,3,4,5,2,5,1,3,3,1045000,06/05/2023
20,2535,3,3,1,1,1,4,3,5,945000,04/05/2023
20,2534,5,2,4,3,3,2,1,2,857000,02/05/2023
20,2533,1,2,4,1,1,1,1,5,770000,29/04/2023
20,2532,4,5,2,5,5,3,1,3,683000,27/04/2023
20,2531,4,2,2,1,5,3,4,1,609000,25/04/2023
20,2530,2,3,2,3,4,2,5,3,537000,22/04/2023
20,2529,3,5,4,5,3,3,5,2,467000,20/04/2023
20,2528,1,4,3,4,1,4,3,3,405000,18/04/2023
20,2527,1,2,4,4,1,1,4,4,343000,15/04/2023
20,2526,2,3,5,3,3,2,2,2,304000,13/04/2023
20,2525,3,1,1,1,2,4,5,1,303000,11/04/2023
20,2524,2,2,2,1,2,3,4,3,302000,08/04/2023
20,2523,3,4,1,5,1,3,2,4,301000,06/04/2023
20,2522,3,1,3,4,5,5,2,1,300000,04/04/2023
20,2521,3,5,2,3,2,1,2,1,303000,01/04/2023
20,2520,1,5,4,5,1,4,2,1,302000,30/03/2023
20,2519,1,5,2,5,5,2,3,1,301000,28/03/2023
20,2518,2,3,1,4,1,5,1,3,300000,25/03/2023
20,2517,5,4,1,5,2,4,2,3,380000,23/03/2023
20,2516,2,4,3,2,3,1,2,2,319000,21/03/2023
20,2515,4,2,3,1,4,4,3,4,303000,18/03/2023
20,2514,5,1,4,3,2,2,4,3,302000,16/03/2023
20,2513,4,5,5,3,5,3,1,5,301000,14/03/2023
20,2512,4,2,3,4,4,5,3,3,300000,11/03/2023
20,2511,3,2,5,5,5,2,3,4,300000,09/03/2023
20,2510,1,2,3,4,4,1,3,5,301000,07/03/2023
20,2509,1,3,1,3,4,3,5,4,300000,04/03/2023
20,2508,2,4,4,5,2,1,1,2,300000,02/03/2023
20,2507,4,4,5,2,1,1,2,5,301000,28/02/2023
20,2506,2,2,2,1,1,2,2,2,300000,25/02/2023
20,2505,3,2,5,1,2,4,2,5,301000,23/02/2023
20,2504,3,1,4,2,2,5,4,3,300000,21/02/2023
20,2503,1,2,2,5,2,1,1,4,310000,18/02/2023
20,2502,3,5,1,2,4,3,2,2,303000,16/02/2023
20,2501,5,2,2,5,3,1,3,3,302000,14/02/2023
20,2500,4,2,3,4,4,3,4,4,301000,11/02/2023
20,2499,2,1,2,2,1,4,4,4,300000,09/02/2023
20,2498,2,5,4,2,5,3,3,3,303000,07/02/2023
20,2497,3,2,5,2,2,5,2,5,302000,04/02/2023
20,2496,1,4,1,1,2,1,1,5,301000,02/02/2023
20,2495,2,1,4,2,1,3,2,3,300000,31/01/2023
20,2494,4,5,1,1,4,4,3,2,300000,28/01/2023
20,2493,5,4,3,2,5,4,2,4,300000,26/01/2023
20,2492,3,2,3,4,1,3,1,2,300000,24/01/2023
20,2491,4,4,1,2,2,1,3,2,301000,21/01/2023
20,2490,5,2,3,3,2,5,4,2,300000,19/01/2023
20,2489,4,2,1,4,1,4,5,2,955000,17/01/2023
20,2488,4,2,2,2,5,1,2,1,853000,14/01/2023
20,2487,5,5,2,4,1,3,4,2,765000,12/01/2023
20,2486,5,1,2,4,5,1,1,2,680000,10/01/2023
20,2485,4,5,5,2,4,2,3,2,590000,07/01/2023
20,2484,5,1,1,4,2,1,1,3,510000,05/01/2023
20,2483,3,3,3,3,2,2,2,3,449000,03/01/2023
20,2482,3,3,4,1,2,2,1,2,380000,31/12/2022
20,2481,4,4,4,2,1,3,3,1,304000,29/12/2022
20,2480,5,5,4,1,3,1,1,5,303000,27/12/2022
20,2479,5,2,3,1,2,1,2,5,302000,24/12/2022
20,2478,5,4,3,3,2,2,1,4,301000,22/12/2022
20,2477,2,2,3,4,5,5,1,5,300000,20/12/2022
20,2476,2,1,1,3,4,1,2,1,447000,17/12/2022
20,2475,5,3,1,4,4,2,1,2,379000,15/12/2022
20,2474,1,5,4,1,4,5,5,3,309000,13/12/2022
20,2473,4,3,2,3,3,1,5,2,303000,10/12/2022
20,2472,3,3,2,3,5,4,3,1,302000,08/12/2022
20,2471,5,2,2,3,5,3,5,4,301000,06/12/2022
20,2470,5,2,2,2,4,2,4,5,300000,03/12/2022
20,2469,4,5,4,3,1,5,3,2,301000,01/12/2022
20,2468,3,5,1,4,1,1,2,4,300000,29/11/2022
20,2467,4,4,1,5,1,5,1,5,635000,26/11/2022
20,2466,5,1,4,2,5,2,4,5,596000,24/11/2022
20,2465,4,4,2,2,4,3,2,5,497000,22/11/2022
20,2464,1,2,5,5,3,1,3,5,429000,19/11/2022
20,2463,3,3,5,1,3,3,2,3,365000,17/11/2022
20,2462,5,5,4,5,5,4,2,3,304000,15/11/2022
20,2461,1,3,4,1,1,2,2,3,303000,12/11/2022
20,2460,5,3,5,2,2,2,4,1,302000,10/11/2022
20,2459,2,5,1,3,2,3,2,1,301000,08/11/2022
20,2458,1,3,4,2,3,5,3,2,300000,05/11/2022
20,2457,2,5,4,2,1,2,1,4,550000,03/11/2022
20,2456,2,2,2,1,5,2,4,4,485000,01/11/2022
20,2455,2,1,5,4,3,1,2,5,420000,29/10/2022
20,2454,4,5,5,3,1,4,2,2,359000,27/10/2022
20,2453,3,5,5,2,2,1,1,2,304000,25/10/2022
20,2452,5,4,4,4,2,5,2,2,303000,22/10/2022
20,2451,2,5,4,5,4,4,3,2,302000,20/10/2022
20,2450,2,3,4,5,2,1,2,1,301000,18/10/2022
20,2449,1,1,5,4,1,1,1,3,300000,15/10/2022
20,2448,4,5,4,2,1,4,1,4,1230000,13/10/2022
20,2447,4,2,4,3,4,1,5,1,1120000,11/10/2022
20,2446,5,2,4,3,4,4,2,1,1013000,08/10/2022
20,2445,4,3,4,3,1,3,5,5,905000,06/10/2022
20,2444,1,5,2,5,3,1,3,1,810000,04/10/2022
20,2443,3,3,3,2,4,3,5,4,715000,01/10/2022
20,2442,5,3,1,3,3,2,5,4,645000,29/09/2022
